player,position,goals,assists,key_stat_value,key_stat_label,award
Mikel Oyarzabal,FW,5,2,5,Goals - Spain top scorer,
Pedro Porro,RB,2,1,2,Goals from right-back,
Mikel Merino,CM,2,1,2,Knockout-stage goals,
Lamine Yamal,RW,1,3,3.5,Dribbles per game - tournament best,
Ferran Torres,FW,1,0,106,Minute of the Final winner,
Alex Baena,AM,1,1,1,Winner vs Uruguay,
Rodri,DM,1,1,91,Pass accuracy % (est.),Golden Ball
Unai Simon,GK,0,0,7,Clean sheets in 8 games,Golden Glove
Pau Cubarsi,CB,0,0,19,Age - youngest starter,Best Young Player
