team,matches,xg_for,xg_for_rank,xg_against,xg_against_rank,possession_avg,possession_avg_rank,poss_won_final_third,poss_won_final_third_rank,interceptions,interceptions_rank,tackles,tackles_rank,touches_opp_box,touches_opp_box_rank,big_chances,big_chances_rank,clean_sheets,clean_sheets_rank,accurate_passes,accurate_passes_rank
Ghana,4.0,2.3,38.0,4.5,16.0,36.3,31.0,1.8,30.0,7.5,20.0,16.0,15.0,41.0,41.0,4.0,33.0,2.0,5.0,283.3,30.0
Bosnia and Herzegovina,4.0,2.1,39.0,5.0,19.0,45.7,26.0,2.5,24.0,8.3,14.0,14.5,21.0,50.0,35.0,3.0,37.0,,,319.5,26.0
Jordan,3.0,1.9,40.0,5.7,24.0,,,,,,,,,38.0,43.0,2.0,40.0,,,,
Panama,3.0,1.9,41.0,4.5,17.0,,,,,,,,,52.0,33.0,3.0,39.0,,,,
Paraguay,5.0,1.6,42.0,7.2,37.0,29.7,32.0,1.4,31.0,10.8,3.0,26.4,1.0,46.0,37.0,4.0,32.0,2.0,9.0,183.2,32.0
Qatar,3.0,1.6,43.0,8.5,46.0,,,,,,,,,25.0,47.0,4.0,33.0,,,,
Uzbekistan,3.0,1.6,43.0,6.4,32.0,,,,,,,,,18.0,48.0,1.0,47.0,,,,
Iraq,3.0,1.6,45.0,8.2,43.0,,,,,,,,,30.0,45.0,2.0,44.0,,,,
Curacao,3.0,1.4,46.0,8.4,45.0,,,,,,,,,40.0,42.0,,,1.0,18.0,,
Saudi Arabia,3.0,1.2,47.0,5.4,22.0,,,,,,,,,32.0,44.0,2.0,44.0,1.0,18.0,,
Tunisia,3.0,0.9,48.0,5.3,21.0,,,,,,,,,29.0,46.0,2.0,41.0,,,,
