team,matches,gf,ga,xg_for,xg_against,possession_avg,poss_won_final_third,poss_won_final_third_rank,interceptions,tackles,big_chances,clean_sheets,final_result
France,8,20,10,17.5,8.3,55.7,4.6,6.0,8.5,14.5,33.0,4.0,Semi-final
Spain,8,14,1,15.6,2.4,64.0,6.1,1.0,7.9,15.9,24.0,7.0,Champions
Argentina,8,19,8,14.6,6.2,57.5,2.9,20.0,10.0,19.9,22.0,2.0,Runners-up
England,8,20,12,14.3,9.3,54.1,3.4,15.0,6.3,15.9,33.0,2.0,Third place
Belgium,6,14,7,10.9,8.1,51.1,2.3,26.0,8.2,14.3,15.0,1.0,Quarter-final
Portugal,5,8,3,7.0,5.8,58.3,4.0,10.0,6.8,13.6,13.0,2.0,Round of 16
